Items: 500
Max score assuming infinite container: 2311
Gen #0 | Best score: 349 | Gen avg: 277.37 | Current optimal: 349 | Optimal ID: d78ef442f6cc9478651211e0a509326c | Wasted room: 132
Gen #1 | Best score: 348 | Gen avg: 274.49 | Current optimal: 349 | Optimal ID: d78ef442f6cc9478651211e0a509326c | Wasted room: 132
Gen #2 | Best score: 348 | Gen avg: 268.69 | Current optimal: 349 | Optimal ID: d78ef442f6cc9478651211e0a509326c | Wasted room: 132
Gen #3 | Best score: 348 | Gen avg: 266.24 | Current optimal: 349 | Optimal ID: d78ef442f6cc9478651211e0a509326c | Wasted room: 132
Gen #4 | Best score: 357 | Gen avg: 262.91 | Current optimal: 357 | Optimal ID: 313a6cda0da8ed01141f26ed94260535 | Wasted room: 139
Gen #5 | Best score: 357 | Gen avg: 256.67 | Current optimal: 357 | Optimal ID: 313a6cda0da8ed01141f26ed94260535 | Wasted room: 139
Gen #6 | Best score: 357 | Gen avg: 259.67 | Current optimal: 357 | Optimal ID: 313a6cda0da8ed01141f26ed94260535 | Wasted room: 139
Gen #7 | Best score: 357 | Gen avg: 255.85 | Current optimal: 357 | Optimal ID: 313a6cda0da8ed01141f26ed94260535 | Wasted room: 139
Gen #8 | Best score: 357 | Gen avg: 257.33 | Current optimal: 357 | Optimal ID: 313a6cda0da8ed01141f26ed94260535 | Wasted room: 139
Gen #9 | Best score: 367 | Gen avg: 252.04 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #10 | Best score: 357 | Gen avg: 241.34 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #11 | Best score: 357 | Gen avg: 239.89 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #12 | Best score: 357 | Gen avg: 233.11 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #13 | Best score: 357 | Gen avg: 229.04 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #14 | Best score: 365 | Gen avg: 229.52 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
